Bandit,Reward,Algorithm
2,2.5274320475681855,Epsilon-Greedy
1,2.051354884110753,Epsilon-Greedy
2,5.394541566679259,Epsilon-Greedy
3,3.9073105923608478,Epsilon-Greedy
2,3.4451445000125664,Epsilon-Greedy
1,1.6761319316971195,Epsilon-Greedy
2,4.052481704108075,Epsilon-Greedy
3,2.9969581099529106,Epsilon-Greedy
2,3.738508030217585,Epsilon-Greedy
2,1.636580762077824,Epsilon-Greedy
2,3.113686172482459,Epsilon-Greedy
3,4.585732906969606,Epsilon-Greedy
3,2.1933347726741688,Epsilon-Greedy
3,4.1782041056204235,Epsilon-Greedy
3,3.7463632144735355,Epsilon-Greedy
3,5.059695712300531,Epsilon-Greedy
3,4.660155171291424,Epsilon-Greedy
3,3.699261409806823,Epsilon-Greedy
3,4.046892880437438,Epsilon-Greedy
3,5.149541717675428,Epsilon-Greedy
3,4.392443689443596,Epsilon-Greedy
3,3.5156000457621874,Epsilon-Greedy
3,3.862282073180287,Epsilon-Greedy
3,5.901593129372469,Epsilon-Greedy
3,5.383029318931271,Epsilon-Greedy
3,3.6422534758209713,Epsilon-Greedy
2,2.2035321029714225,Epsilon-Greedy
3,4.144430182594301,Epsilon-Greedy
3,2.8417630041051107,Epsilon-Greedy
3,4.420075862352856,Epsilon-Greedy
3,4.850875851523389,Epsilon-Greedy
3,4.956502898484576,Epsilon-Greedy
3,3.442085592058236,Epsilon-Greedy
3,5.1511189229778225,Epsilon-Greedy
3,4.696065142615552,Epsilon-Greedy
3,2.666183661432998,Epsilon-Greedy
3,2.921195016196754,Epsilon-Greedy
3,4.348605429566743,Epsilon-Greedy
2,3.773460640378761,Epsilon-Greedy
3,5.0127537528119435,Epsilon-Greedy
3,4.3664499646461685,Epsilon-Greedy
3,3.434914348234291,Epsilon-Greedy
3,4.768010746424565,Epsilon-Greedy
0,0.26688008463195145,Epsilon-Greedy
3,4.309822416760724,Epsilon-Greedy
3,5.268857819474743,Epsilon-Greedy
3,5.875084034583921,Epsilon-Greedy
3,4.736873160733425,Epsilon-Greedy
3,5.115958548978136,Epsilon-Greedy
3,5.105646043903479,Epsilon-Greedy
3,2.3439441819354805,Epsilon-Greedy
3,4.0837277359383,Epsilon-Greedy
3,4.969834498130955,Epsilon-Greedy
3,3.452160766176079,Epsilon-Greedy
3,1.828938429294423,Epsilon-Greedy
3,5.037219864701431,Epsilon-Greedy
3,2.5870444256945984,Epsilon-Greedy
3,5.196297925237076,Epsilon-Greedy
3,5.252806787622497,Epsilon-Greedy
3,2.8132902430040962,Epsilon-Greedy
3,2.4126123829449417,Epsilon-Greedy
3,3.802784214871563,Epsilon-Greedy
3,3.7965515098010454,Epsilon-Greedy
3,3.6587105963794295,Epsilon-Greedy
3,3.157058966506768,Epsilon-Greedy
3,3.8077795484991843,Epsilon-Greedy
3,2.6742046191826665,Epsilon-Greedy
3,4.306193152642589,Epsilon-Greedy
3,2.6520411753253432,Epsilon-Greedy
3,5.648120698113717,Epsilon-Greedy
3,3.4360935734124585,Epsilon-Greedy
3,3.0597718140263144,Epsilon-Greedy
3,0.7107457664097421,Epsilon-Greedy
3,2.8376962499139253,Epsilon-Greedy
3,4.826750357616252,Epsilon-Greedy
3,2.2332136565452476,Epsilon-Greedy
3,5.069285459473018,Epsilon-Greedy
3,3.9536345450588866,Epsilon-Greedy
3,3.6716192566101955,Epsilon-Greedy
3,3.1658629062288752,Epsilon-Greedy
3,4.905613268750304,Epsilon-Greedy
3,2.8023510226707615,Epsilon-Greedy
3,3.8261929752730963,Epsilon-Greedy
3,4.275657781809694,Epsilon-Greedy
3,4.599718384287494,Epsilon-Greedy
3,4.534341637753934,Epsilon-Greedy
3,2.94959652812783,Epsilon-Greedy
3,1.8391799049599316,Epsilon-Greedy
3,4.32691004936137,Epsilon-Greedy
3,3.560692979859962,Epsilon-Greedy
3,2.6896633891748274,Epsilon-Greedy
3,4.116727996007315,Epsilon-Greedy
3,2.983857131484318,Epsilon-Greedy
3,5.261527003974043,Epsilon-Greedy
3,4.429830089785003,Epsilon-Greedy
3,3.6667593107911425,Epsilon-Greedy
3,4.63888703516109,Epsilon-Greedy
3,5.599807975175185,Epsilon-Greedy
3,3.5157026413001304,Epsilon-Greedy
3,4.927438853523321,Epsilon-Greedy
3,2.391549799272245,Epsilon-Greedy
3,5.402740897336285,Epsilon-Greedy
3,4.904318493711559,Epsilon-Greedy
3,2.0595479161382912,Epsilon-Greedy
3,5.823572037312665,Epsilon-Greedy
3,4.153718365383144,Epsilon-Greedy
3,4.550136793846638,Epsilon-Greedy
3,5.41736655297449,Epsilon-Greedy
3,5.0445501203929455,Epsilon-Greedy
3,4.962305559354025,Epsilon-Greedy
3,4.691790428220074,Epsilon-Greedy
3,4.617676098717419,Epsilon-Greedy
3,5.281412020247378,Epsilon-Greedy
3,5.572572362064206,Epsilon-Greedy
3,3.6381647356253906,Epsilon-Greedy
3,5.720968333825188,Epsilon-Greedy
3,3.9950721539154195,Epsilon-Greedy
3,4.27440542962405,Epsilon-Greedy
3,4.176837366062757,Epsilon-Greedy
3,3.6030670813488483,Epsilon-Greedy
3,5.719465546490192,Epsilon-Greedy
3,4.073131581765192,Epsilon-Greedy
3,3.7804086387426388,Epsilon-Greedy
3,3.390280010403253,Epsilon-Greedy
3,5.826900173344162,Epsilon-Greedy
3,5.085598091345254,Epsilon-Greedy
3,3.0576487361420854,Epsilon-Greedy
3,3.269586453033315,Epsilon-Greedy
3,2.3610004127376865,Epsilon-Greedy
3,3.4051560167767008,Epsilon-Greedy
3,3.89712912377321,Epsilon-Greedy
3,4.552710218518718,Epsilon-Greedy
3,5.385032921332915,Epsilon-Greedy
3,3.4426442517178755,Epsilon-Greedy
3,5.295001152828419,Epsilon-Greedy
3,3.224197637039375,Epsilon-Greedy
3,5.006360874311153,Epsilon-Greedy
3,3.642781781189733,Epsilon-Greedy
3,4.594985219029233,Epsilon-Greedy
3,5.437449519809276,Epsilon-Greedy
3,4.324362655018886,Epsilon-Greedy
3,5.264036146482291,Epsilon-Greedy
3,4.4654407214145175,Epsilon-Greedy
3,4.846757296274381,Epsilon-Greedy
3,2.7680120279074103,Epsilon-Greedy
3,3.9082352563400864,Epsilon-Greedy
3,5.025772055320843,Epsilon-Greedy
3,4.071211738923996,Epsilon-Greedy
3,3.6894533234074616,Epsilon-Greedy
3,2.9512765652336124,Epsilon-Greedy
3,3.760564983937978,Epsilon-Greedy
3,3.651764729524871,Epsilon-Greedy
3,2.4631200293682864,Epsilon-Greedy
3,3.448741903504804,Epsilon-Greedy
3,2.784149739319787,Epsilon-Greedy
3,3.8189707727736257,Epsilon-Greedy
3,2.660394407509166,Epsilon-Greedy
3,2.8728082369330536,Epsilon-Greedy
3,4.836101922561176,Epsilon-Greedy
3,4.071995210263246,Epsilon-Greedy
3,3.585572072849884,Epsilon-Greedy
3,5.21079267503754,Epsilon-Greedy
3,4.5140143995332265,Epsilon-Greedy
3,2.8393145179520505,Epsilon-Greedy
3,3.6417652694651252,Epsilon-Greedy
3,4.439647227522229,Epsilon-Greedy
3,4.99215742430403,Epsilon-Greedy
3,3.4544758617565865,Epsilon-Greedy
3,3.7697144010045593,Epsilon-Greedy
3,2.966878415100552,Epsilon-Greedy
3,3.9274474679434555,Epsilon-Greedy
3,4.640268910691669,Epsilon-Greedy
3,3.7870174470937767,Epsilon-Greedy
3,4.370970495512465,Epsilon-Greedy
3,4.816457456042872,Epsilon-Greedy
0,2.9332810646324816,Epsilon-Greedy
3,4.6731756769745685,Epsilon-Greedy
3,5.2711979011345615,Epsilon-Greedy
3,2.5090127387259953,Epsilon-Greedy
3,3.739590535811257,Epsilon-Greedy
3,4.668893881222233,Epsilon-Greedy
3,4.589010157672348,Epsilon-Greedy
3,4.772396896094397,Epsilon-Greedy
3,3.0938160278228453,Epsilon-Greedy
3,3.884462133919405,Epsilon-Greedy
3,3.253106983497437,Epsilon-Greedy
3,5.9153223604878065,Epsilon-Greedy
3,3.8453535245522796,Epsilon-Greedy
3,4.6744321426210425,Epsilon-Greedy
3,4.044613739136806,Epsilon-Greedy
3,3.6294254244734896,Epsilon-Greedy
3,4.441378210889533,Epsilon-Greedy
3,4.816959116989155,Epsilon-Greedy
3,4.616934960869141,Epsilon-Greedy
3,2.470403269286572,Epsilon-Greedy
3,3.8063507247479227,Epsilon-Greedy
3,4.767738311315046,Epsilon-Greedy
3,1.9131179409615782,Epsilon-Greedy
3,5.645799379569313,Epsilon-Greedy
3,5.139041991324298,Epsilon-Greedy
3,2.2001042988891193,Epsilon-Greedy
3,3.9418825906791866,Epsilon-Greedy
3,4.08537881293796,Epsilon-Greedy
3,3.955897069009105,Epsilon-Greedy
3,5.376678521623562,Epsilon-Greedy
3,3.536552434454601,Epsilon-Greedy
3,4.044405696866721,Epsilon-Greedy
3,2.7470685110854864,Epsilon-Greedy
3,3.4327964056388387,Epsilon-Greedy
3,4.22539307920891,Epsilon-Greedy
3,2.3696938680286834,Epsilon-Greedy
3,4.481704833556721,Epsilon-Greedy
3,4.665899439451272,Epsilon-Greedy
3,4.1723990375624815,Epsilon-Greedy
3,4.530612664847062,Epsilon-Greedy
3,4.43251879549426,Epsilon-Greedy
3,3.5700568680216516,Epsilon-Greedy
3,2.7150166371859266,Epsilon-Greedy
3,4.507114183550727,Epsilon-Greedy
3,2.6879196906301095,Epsilon-Greedy
3,4.763582096984643,Epsilon-Greedy
3,4.1460288677168835,Epsilon-Greedy
3,4.392267673198198,Epsilon-Greedy
3,3.581443452959532,Epsilon-Greedy
3,5.230577565946526,Epsilon-Greedy
3,4.311939587912398,Epsilon-Greedy
3,2.487682657102447,Epsilon-Greedy
3,4.690814484736398,Epsilon-Greedy
3,2.8736471306926736,Epsilon-Greedy
3,4.031104466140068,Epsilon-Greedy
3,4.551733244815436,Epsilon-Greedy
3,4.091439253033237,Epsilon-Greedy
3,2.7691096898846954,Epsilon-Greedy
3,3.7274253350083533,Epsilon-Greedy
3,4.5585778507621475,Epsilon-Greedy
3,3.7094008923109993,Epsilon-Greedy
3,3.416277464400988,Epsilon-Greedy
3,4.23770888864507,Epsilon-Greedy
3,6.019007785937862,Epsilon-Greedy
3,4.9491855820982495,Epsilon-Greedy
3,4.5302653212121164,Epsilon-Greedy
3,2.4429322934841693,Epsilon-Greedy
3,0.7916612613925413,Epsilon-Greedy
3,3.9284181879104896,Epsilon-Greedy
3,3.962892900899711,Epsilon-Greedy
3,4.960959049792914,Epsilon-Greedy
3,2.5410066721956097,Epsilon-Greedy
3,3.7370475272720682,Epsilon-Greedy
3,5.70558851496354,Epsilon-Greedy
3,3.8903182153486324,Epsilon-Greedy
3,3.6192116958926466,Epsilon-Greedy
3,4.068681297971916,Epsilon-Greedy
3,4.5615854650752015,Epsilon-Greedy
3,2.9822640589509453,Epsilon-Greedy
3,2.9605697768317008,Epsilon-Greedy
3,4.228647070517647,Epsilon-Greedy
3,1.6415074544698518,Epsilon-Greedy
3,5.1663046031946775,Epsilon-Greedy
3,4.694860902832037,Epsilon-Greedy
3,5.022136015827284,Epsilon-Greedy
3,4.014584804957714,Epsilon-Greedy
3,3.1737599744987124,Epsilon-Greedy
3,5.568345649902154,Epsilon-Greedy
3,3.151340837881187,Epsilon-Greedy
3,4.739989203077982,Epsilon-Greedy
3,1.5861061538746055,Epsilon-Greedy
3,4.507460433611566,Epsilon-Greedy
3,4.691239150028459,Epsilon-Greedy
3,2.8376094790926416,Epsilon-Greedy
3,3.0677109096834854,Epsilon-Greedy
3,4.6916898754150385,Epsilon-Greedy
3,3.848873118231008,Epsilon-Greedy
3,2.9781665877396417,Epsilon-Greedy
3,4.911974240153423,Epsilon-Greedy
3,2.3225428127266,Epsilon-Greedy
3,3.651950064301375,Epsilon-Greedy
3,3.7566499504383337,Epsilon-Greedy
3,3.4307720001564554,Epsilon-Greedy
3,3.8242951382758372,Epsilon-Greedy
0,2.149855496238473,Epsilon-Greedy
3,3.0762828876439734,Epsilon-Greedy
3,5.660546523669651,Epsilon-Greedy
3,3.901011896928459,Epsilon-Greedy
3,4.11421652415011,Epsilon-Greedy
3,2.9616217599746877,Epsilon-Greedy
3,3.5990170917637627,Epsilon-Greedy
3,5.7270139120911345,Epsilon-Greedy
3,3.911707479399778,Epsilon-Greedy
3,3.1766759887111453,Epsilon-Greedy
3,5.705915917002988,Epsilon-Greedy
3,6.464331569006209,Epsilon-Greedy
3,2.357879854550393,Epsilon-Greedy
3,3.524346129400473,Epsilon-Greedy
3,4.569551180172491,Epsilon-Greedy
3,2.4221550727543835,Epsilon-Greedy
3,3.667019721581287,Epsilon-Greedy
3,4.646240256418977,Epsilon-Greedy
3,2.028427858879834,Epsilon-Greedy
3,6.0844824464009495,Epsilon-Greedy
3,3.496706734877899,Epsilon-Greedy
3,4.406454697257011,Epsilon-Greedy
3,2.6820015329516753,Epsilon-Greedy
3,4.412942188869576,Epsilon-Greedy
3,5.330590434357829,Epsilon-Greedy
3,3.6981025358367647,Epsilon-Greedy
3,3.3151788194630476,Epsilon-Greedy
3,4.601084282716073,Epsilon-Greedy
3,3.0680758253560594,Epsilon-Greedy
3,4.220038189033301,Epsilon-Greedy
3,5.939889764435161,Epsilon-Greedy
3,6.15425060228746,Epsilon-Greedy
3,3.169176130435516,Epsilon-Greedy
3,3.3010815667497866,Epsilon-Greedy
3,4.459268860791855,Epsilon-Greedy
3,5.512091074098984,Epsilon-Greedy
3,4.168199357225563,Epsilon-Greedy
3,3.9630612831725007,Epsilon-Greedy
3,3.469249432353993,Epsilon-Greedy
3,2.5443150724111545,Epsilon-Greedy
3,5.133930699472298,Epsilon-Greedy
3,2.20359893247615,Epsilon-Greedy
3,4.80366822993421,Epsilon-Greedy
3,4.020029334332207,Epsilon-Greedy
3,5.658423423321341,Epsilon-Greedy
3,2.0577846831408255,Epsilon-Greedy
3,4.87345289227175,Epsilon-Greedy
3,3.2089862154363695,Epsilon-Greedy
3,3.999421817773051,Epsilon-Greedy
3,5.385591812093231,Epsilon-Greedy
3,3.8535276303009134,Epsilon-Greedy
3,2.953107646666413,Epsilon-Greedy
3,3.7390504575025574,Epsilon-Greedy
3,6.25512901725331,Epsilon-Greedy
3,4.931700490633558,Epsilon-Greedy
3,4.082017236585207,Epsilon-Greedy
3,4.443245088901658,Epsilon-Greedy
3,3.7570352038523214,Epsilon-Greedy
3,3.2782180295223213,Epsilon-Greedy
3,5.612167302429975,Epsilon-Greedy
3,5.50899095014842,Epsilon-Greedy
3,3.558691656257127,Epsilon-Greedy
3,3.423603318187868,Epsilon-Greedy
3,4.482325711673709,Epsilon-Greedy
3,4.694308757064811,Epsilon-Greedy
3,4.564772499833583,Epsilon-Greedy
3,4.604399098199041,Epsilon-Greedy
3,5.453169663586712,Epsilon-Greedy
3,3.6067976723373283,Epsilon-Greedy
3,6.3255037772353715,Epsilon-Greedy
3,2.6015736188527336,Epsilon-Greedy
3,4.684495696759465,Epsilon-Greedy
3,3.5430895354492136,Epsilon-Greedy
3,1.635049446103296,Epsilon-Greedy
3,5.4351989085969326,Epsilon-Greedy
3,2.9670777237133876,Epsilon-Greedy
3,4.722095028049838,Epsilon-Greedy
3,2.2251678431183946,Epsilon-Greedy
3,3.920774441370983,Epsilon-Greedy
3,3.6818511878238764,Epsilon-Greedy
3,5.04325287253598,Epsilon-Greedy
3,3.6675965529001333,Epsilon-Greedy
3,3.0688355114775714,Epsilon-Greedy
3,4.845483470403343,Epsilon-Greedy
3,3.826605150654112,Epsilon-Greedy
3,4.249776987043317,Epsilon-Greedy
3,4.5018915853264065,Epsilon-Greedy
3,4.05196596475075,Epsilon-Greedy
3,3.92479977251393,Epsilon-Greedy
3,3.713279333102936,Epsilon-Greedy
